Files,Words,Vocabulary_size
1254,964395,95712
1255,964732,95722
1256,965036,95736
1257,970790,96290
1258,971138,96305
1259,971576,96316
1260,972160,96382
1261,972887,96495
1262,973297,96514
1263,973510,96523
1264,973966,96534
1265,974203,96549
1266,974448,96556
1267,974958,96573
1268,976838,96853
1269,977281,96861
1270,977583,96869
1271,978488,96932
1272,979106,96964
1273,980418,97034
1274,980678,97045
1275,981338,97079
1276,981710,97091
1277,981982,97107
1278,982368,97116
1279,984190,97265
1280,984374,97267
1281,984699,97326
1282,986109,97360
1283,987073,97404
1284,987253,97405
1285,987844,97457
1286,988233,97485
1287,988404,97487
1288,989488,97529
1289,989785,97533
1290,990645,97569
1291,992313,97682
1292,992984,97697
1293,993775,97728
1294,994630,97764
1295,995703,97797
1296,997481,97807
1297,998187,97828
1298,998773,97839
1299,999080,97842
1300,999739,97886
1301,1001137,97914
1302,1001770,97930
1303,1002456,97934
1304,1003346,97962
1305,1004235,97990
1306,1004749,98017
1307,1005173,98034
1308,1005859,98052
1309,1006116,98063
1310,1007339,98114
1311,1007627,98125
1312,1007895,98129
1313,1008887,98168
1314,1010422,98228
1315,1011180,98250
1316,1011684,98272
1317,1011941,98283
1318,1012714,98320
1319,1013103,98324
1320,1014026,98363
1321,1014720,98386
1322,1016928,98473
1323,1017255,98488
1324,1018095,98525
1325,1018706,98530
1326,1021924,98713
1327,1022203,98730
1328,1022460,98741
1329,1024619,98783
1330,1025605,98829
1331,1025785,98830
1332,1026197,98832
1333,1026487,98838
1334,1027012,98848
1335,1027296,98868
1336,1028119,98947
1337,1028557,98980
1338,1028810,98989
1339,1029391,99040
1340,1029734,99054
1341,1030583,99080
1342,1030889,99085
1343,1031335,99094
1344,1031972,99107
1345,1032403,99130
1346,1033488,99170
1347,1034349,99180
1348,1034635,99191
1349,1035042,99216
1350,1035580,99229
1351,1035790,99233
1352,1036021,99235
1353,1036266,99247
1354,1036767,99270
1355,1036985,99281
1356,1037231,99293
1357,1037492,99303
1358,1038483,99345
1359,1038960,99354
1360,1039858,99373
1361,1040996,99432
1362,1041180,99435
1363,1041437,99445
1364,1041716,99449
1365,1041944,99457
1366,1042192,99469
1367,1042419,99476
1368,1042756,99482
1369,1043015,99486
1370,1043514,99500
1371,1043704,99512
1372,1044406,99596
1373,1044861,99614
1374,1045397,99618
1375,1045665,99630
1376,1046422,99648
1377,1046836,99670
1378,1047069,99673
1379,1047242,99674
1380,1047437,99688
1381,1047773,99704
1382,1051389,99874
1383,1052737,99898
1384,1054760,99950
1385,1055693,99989
1386,1056321,100012
1387,1056605,100034
1388,1057399,100072
1389,1057618,100077
1390,1057772,100081
1391,1059342,100135
1392,1060198,100174
1393,1060591,100180
1394,1060902,100194
1395,1061214,100234
1396,1061662,100294
1397,1062196,100306
1398,1062425,100348
1399,1062762,100359
1400,1063667,100395
1401,1063913,100405
1402,1064614,100473
1403,1064904,100483
1404,1076446,100679
1405,1078250,100782
1406,1078491,100797
1407,1078681,100798
1408,1079363,100825
1409,1081196,100868
1410,1081372,100869
1411,1081915,100888
1412,1082206,100894
1413,1082530,100928
1414,1082920,100946
1415,1083421,100991
1416,1083688,101001
1417,1084041,101003
1418,1084491,101052
1419,1084931,101088
1420,1085179,101103
1421,1093696,101664
1422,1093953,101685
1423,1094163,101695
1424,1096011,101780
1425,1097474,101921
1426,1097779,101929
1427,1098049,101942
1428,1099101,101986
1429,1099703,102012
1430,1100171,102030
1431,1101064,102229
1432,1101711,102265
1433,1102104,102287
1434,1102515,102339
1435,1102700,102342
1436,1103326,102367
1437,1103994,102393
1438,1104812,102435
1439,1105461,102458
1440,1106590,102521
1441,1108060,102550
1442,1108542,102559
1443,1109080,102594
1444,1109702,102626
1445,1111761,102661
1446,1112441,102700
1447,1113055,102725
1448,1113439,102729
1449,1114495,102766
1450,1117007,102951
1451,1117299,102953
1452,1117495,102958
1453,1117712,102961
1454,1118155,103010
1455,1118364,103012
1456,1119668,103045
1457,1119910,103049
1458,1120343,103074
1459,1121645,103150
1460,1122273,103218
1461,1122598,103221
1462,1123156,103237
1463,1123548,103297
1464,1123856,103299
1465,1124142,103305
1466,1125919,103370
1467,1126365,103388
1468,1127012,103422
1469,1127369,103501
1470,1128436,103546
1471,1128746,103602
1472,1129063,103635
1473,1129579,103654
1474,1130623,103711
1475,1131633,103805
1476,1131855,103819
1477,1132050,103824
1478,1132291,103836
1479,1134330,103939
1480,1134549,103942
1481,1135987,104005
1482,1136604,104022
1483,1136943,104040
1484,1137341,104047
1485,1138733,104154
1486,1139494,104177
1487,1139834,104186
1488,1140057,104190
1489,1140816,104287
1490,1141721,104303
1491,1142189,104312
1492,1142405,104314
1493,1142888,104328
1494,1147249,104512
1495,1147643,104513
1496,1148357,104532
1497,1150119,104652
1498,1150420,104662
1499,1150778,104680
1500,1151472,104704
1501,1151779,104709
1502,1155075,105070
1503,1156158,105114
1504,1156956,105140
1505,1157254,105148
1506,1157538,105159
1507,1158529,105196
1508,1159168,105217
1509,1159932,105230
1510,1160616,105249
1511,1161242,105262
1512,1162864,105318
1513,1163325,105322
1514,1163602,105327
1515,1163936,105361
1516,1164608,105416
1517,1164963,105425
1518,1165728,105487
1519,1166436,105521
1520,1166649,105522
1521,1167368,105547
1522,1167626,105554
1523,1168464,105763
1524,1168698,105772
1525,1168973,105775
1526,1169261,105792
1527,1169533,105799
1528,1169861,105800
1529,1170073,105810
1530,1170450,105831
1531,1171058,105849
1532,1171839,105873
1533,1172503,105927
1534,1173277,105941
1535,1173584,105945
1536,1174091,105966
1537,1188362,106614
1538,1188565,106615
1539,1188882,106632
1540,1189173,106647
1541,1189417,106654
1542,1190929,106836
1543,1191444,106855
1544,1191634,106856
1545,1193480,106906
1546,1193885,106948
1547,1194292,106976
1548,1194593,106995
1549,1195456,107038
1550,1195710,107049
1551,1195974,107063
1552,1196222,107074
1553,1196599,107099
1554,1197475,107136
1555,1197666,107139
1556,1198379,107180
1557,1198985,107209
1558,1199554,107288
1559,1199850,107296
1560,1200871,107342
1561,1201121,107377
1562,1201497,107388
1563,1203139,107574
1564,1203415,107595
1565,1203815,107669
1566,1204899,107732
1567,1205209,107772
1568,1205531,107779
1569,1205723,107786
1570,1206218,107811
1571,1206999,107915
1572,1207287,107927
1573,1207602,107940
1574,1207812,107944
1575,1208306,107958
1576,1208708,107968
1577,1208896,107969
1578,1209804,108033
1579,1215104,108292
1580,1222705,108886
1581,1223706,109063
1582,1224250,109086
1583,1224653,109096
1584,1225578,109141
1585,1225804,109149
1586,1226193,109151
1587,1226915,109208
1588,1234219,109562
1589,1234414,109566
1590,1234754,109588
1591,1234917,109590
1592,1235424,109604
1593,1235657,109609
1594,1235921,109613
1595,1236255,109636
1596,1236640,109672
1597,1236846,109676
1598,1237878,109765
1599,1238768,109781
1600,1239149,109784
1601,1240250,109834
1602,1242763,109917
1603,1243275,109932
1604,1243938,109955
1605,1244183,109961
1606,1244581,109977
1607,1244969,110016
1608,1245287,110024
1609,1245517,110032
1610,1245780,110039
1611,1246044,110046
1612,1246294,110052
1613,1246562,110062
1614,1247790,110148
1615,1249349,110286
1616,1250077,110305
1617,1250271,110309
1618,1250568,110314
1619,1251352,110353
1620,1253534,110402
1621,1253907,110413
1622,1254157,110418
1623,1254727,110455
