Files,Words,Vocabulary_size
1196,914773,78986
1197,915992,79039
1198,917647,79089
1199,918079,79113
1200,918383,79125
1201,918729,79139
1202,919213,79156
1203,920834,79254
1204,922661,79344
1205,926324,79435
1206,926995,79463
1207,927732,79479
1208,928105,79500
1209,929122,79544
1210,930214,79594
1211,930411,79594
1212,930627,79600
1213,931171,79628
1214,931388,79635
1215,931745,79649
1216,932276,79675
1217,932549,79687
1218,933099,79733
1219,933531,79757
1220,934259,79767
1221,935527,79808
1222,935983,79860
1223,936312,79882
1224,936936,79909
1225,937955,79928
1226,938624,79945
1227,938949,79958
1228,939674,79981
1229,940010,79988
1230,940230,80004
1231,940488,80011
1232,940716,80023
1233,941403,80034
1234,941674,80047
1235,942095,80074
1236,944671,80235
1237,945029,80245
1238,945228,80249
1239,945388,80250
1240,945664,80252
1241,945876,80262
1242,946544,80323
1243,947495,80360
1244,947906,80373
1245,948280,80377
1246,948554,80380
1247,948888,80390
1248,949528,80402
1249,949766,80405
1250,950700,80469
1251,951142,80497
1252,951449,80529
1253,951863,80669
1254,952108,80674
1255,952323,80678
1256,952666,80691
1257,953112,80717
1258,953311,80719
1259,953504,80721
1260,954041,80738
1261,954591,80754
1262,955741,80804
1263,956041,80809
1264,956641,80887
1265,964060,81277
1266,964564,81313
1267,964885,81318
1268,966724,81404
1269,967119,81419
1270,967948,81456
1271,969108,81538
1272,969383,81542
1273,969758,81548
1274,970778,81621
1275,971251,81653
1276,972052,81672
1277,972234,81675
1278,972672,81692
1279,973177,81705
1280,973384,81716
1281,974250,81941
1282,974657,81960
1283,974864,81961
1284,975811,82009
1285,976369,82028
1286,976547,82032
1287,976885,82040
1288,977111,82048
1289,977656,82079
1290,978403,82098
1291,978665,82106
1292,978923,82114
1293,979170,82119
1294,980567,82136
1295,989677,82371
1296,989996,82379
1297,992079,82441
1298,992330,82444
1299,992721,82452
1300,993549,82477
1301,994109,82508
1302,994288,82513
1303,995500,82652
1304,996596,82712
1305,997283,82787
1306,997789,82827
1307,997997,82832
1308,1000342,83091
1309,1000800,83134
1310,1001249,83187
1311,1001521,83195
1312,1001727,83202
1313,1002432,83370
1314,1002637,83371
1315,1003175,83384
1316,1003597,83388
1317,1003897,83416
1318,1004276,83431
1319,1004585,83478
1320,1006707,83573
1321,1007088,83608
1322,1008378,83670
1323,1008658,83676
1324,1008934,83685
1325,1011736,83875
1326,1016623,83970
1327,1016856,83972
1328,1017409,83999
1329,1017733,84008
1330,1018283,84025
1331,1018720,84029
1332,1018941,84032
1333,1019616,84075
1334,1019924,84098
1335,1020203,84107
1336,1020959,84132
1337,1021339,84149
1338,1022188,84261
1339,1022524,84268
1340,1022984,84270
1341,1023185,84278
1342,1023431,84282
1343,1024040,84300
1344,1024333,84301
1345,1025393,84341
1346,1025861,84369
1347,1026513,84390
1348,1026845,84396
1349,1027535,84429
1350,1028294,84484
1351,1030140,84542
1352,1030684,84564
1353,1031784,84600
1354,1032082,84608
1355,1032963,84643
1356,1033247,84647
1357,1036125,84859
1358,1036806,84887
1359,1037193,84908
1360,1037732,84945
1361,1037973,84947
1362,1039194,85029
1363,1039687,85067
1364,1039868,85071
1365,1040094,85078
1366,1040441,85105
1367,1041417,85144
1368,1041819,85159
1369,1042992,85226
1370,1043930,85302
1371,1044621,85467
1372,1044806,85472
1373,1045118,85493
1374,1045331,85500
1375,1045587,85506
1376,1046107,85525
1377,1046293,85525
1378,1046596,85552
1379,1046946,85568
1380,1049293,86490
1381,1049611,86507
1382,1049968,86517
1383,1050341,86530
1384,1050675,86536
1385,1051083,86583
1386,1051455,86606
1387,1051645,86609
1388,1051860,86615
1389,1052200,86636
1390,1052576,86649
1391,1053500,86672
1392,1054099,86717
1393,1054412,86728
1394,1054618,86734
1395,1055006,86748
1396,1055281,86828
1397,1055512,86836
1398,1055924,86841
1399,1056455,87075
1400,1056963,87098
1401,1057902,87141
1402,1058221,87155
1403,1058930,87267
1404,1059202,87277
1405,1059489,87280
1406,1059800,87296
1407,1060150,87303
1408,1061619,87390
1409,1061950,87398
1410,1062350,87406
1411,1062821,87421
1412,1063319,87453
1413,1064403,87480
1414,1065353,87535
1415,1065811,87541
1416,1067589,87743
1417,1068485,87774
1418,1069355,87818
1419,1070833,87892
1420,1071452,87919
1421,1072028,87937
1422,1072208,87940
1423,1072461,87945
1424,1073004,87959
1425,1073207,87965
1426,1073550,87971
1427,1073928,87986
1428,1074160,87993
1429,1074664,88012
1430,1075274,88036
1431,1076036,88048
1432,1076674,88080
1433,1077465,88158
1434,1077911,88177
1435,1078162,88179
1436,1078715,88199
1437,1078998,88208
1438,1079306,88218
1439,1080530,88247
1440,1082666,88355
1441,1083651,88374
1442,1083982,88380
1443,1084333,88385
1444,1084681,88392
1445,1084930,88397
1446,1088034,88470
1447,1091461,88689
1448,1091691,88694
1449,1092009,88704
1450,1092275,88707
1451,1093011,88737
1452,1093911,88771
1453,1094191,88782
1454,1094768,88882
1455,1095089,88886
1456,1095375,88900
1457,1095745,88923
1458,1095915,88929
1459,1096315,88953
1460,1096574,88958
1461,1097464,89064
1462,1098016,89087
1463,1098360,89093
1464,1102394,89246
1465,1102835,89384
1466,1103029,89386
1467,1103441,89405
1468,1103756,89414
1469,1105590,89481
1470,1105869,89488
1471,1106621,89527
1472,1107992,89751
1473,1109141,89827
1474,1109811,89889
1475,1111307,89959
1476,1111625,89975
1477,1111938,89982
1478,1112280,90000
1479,1112503,90003
1480,1113317,90019
1481,1114322,90089
1482,1114764,90112
1483,1115123,90129
1484,1115845,90144
1485,1116134,90150
1486,1116484,90154
1487,1116674,90164
1488,1117363,90174
1489,1117544,90176
1490,1118209,90255
1491,1118384,90256
1492,1118568,90258
1493,1118778,90262
1494,1119346,90271
1495,1119543,90273
1496,1119779,90280
1497,1120069,90293
1498,1120568,90404
1499,1121507,90435
1500,1121967,90459
1501,1122217,90462
1502,1122694,90480
1503,1122986,90496
1504,1123203,90500
1505,1124640,90533
1506,1125041,90562
1507,1125364,90573
1508,1125711,90603
1509,1127047,90692
1510,1127352,90710
1511,1127628,90715
1512,1128204,90740
1513,1129184,90785
1514,1130670,90870
1515,1132864,90996
1516,1133041,91000
1517,1133386,91013
1518,1135232,91118
1519,1135499,91122
1520,1135825,91127
1521,1136347,91148
1522,1138254,91223
1523,1138618,91235
1524,1138954,91255
1525,1139294,91274
1526,1139663,91286
1527,1140075,91338
1528,1140259,91341
1529,1140629,91351
1530,1140974,91354
1531,1141385,91385
1532,1142915,91458
1533,1143627,91500
1534,1144503,91545
1535,1145167,91560
1536,1145544,91569
1537,1146779,91632
1538,1147533,91665
1539,1148499,91738
1540,1149386,91807
1541,1149675,91813
1542,1150381,91879
1543,1150650,91883
1544,1151348,91920
1545,1151613,91930
1546,1153129,91983
1547,1153738,92004
1548,1154368,92039
1549,1154852,92064
1550,1155041,92067
1551,1156171,92103
1552,1157034,92145
1553,1157492,92155
1554,1158144,92207
1555,1158406,92215
1556,1158732,92223
1557,1159081,92305
1558,1159374,92321
1559,1159671,92343
1560,1160308,92367
1561,1160500,92367
1562,1160826,92393
1563,1161188,92397
1564,1164659,92548
1565,1164924,92559
1566,1165529,92580
1567,1165758,92584
1568,1166102,92596
1569,1166421,92603
1570,1166732,92607
1571,1167689,92678
1572,1168242,92692
1573,1168829,92730
1574,1170822,92775
1575,1171020,92777
1576,1171416,92793
1577,1171920,92815
1578,1172209,92821
1579,1172742,92896
1580,1173804,92994
1581,1174284,93030
1582,1174806,93058
1583,1175428,93081
1584,1177000,93264
1585,1177257,93269
1586,1177457,93278
1587,1177710,93290
1588,1177996,93300
1589,1178214,93307
1590,1178573,93323
1591,1178972,93367
1592,1179410,93377
1593,1179723,93398
1594,1180651,93460
1595,1180821,93474
1596,1181459,93531
1597,1183460,93601
1598,1184705,93665
1599,1186381,93752
1600,1186711,93779
1601,1187046,93793
1602,1187221,93801
1603,1187720,93827
1604,1188891,93860
1605,1189534,93886
1606,1190574,94010
1607,1191688,94071
1608,1193473,94114
1609,1193779,94120
